ありがとう。;Thanks.
(どうも)　ありがとうございます・ました。;Thank you very much.
いただきます;(said before eating a meal)
いってきます。;I'm going (and coming back)
いってらっしゃい。;(response to いってきます）
いってまいります。;formal version of いってきます
いらっしゃい・ませ。;Welcome (to store/shop only)
おかえり。;Welcome home
おかえりなさい。;Welcome home (slightly formal)
おかけください。;Please sit down
おかげさまで。;Thanks to you
おかまいなく。;Please don't go to any trouble on my behalf
おきのどくに。;I'm so sorry (to hear about something bad)
(では)おげんきで。;(letter closing) stay well
おげんきですか。;Are you well?
おじゃまします。;Sorry to intrude
おせわになりました。;I've been in your care
おだいじに。;Take care (to someone ill)
おねがいします。;Please (I pray)
おはよう。;'morning
おはようございます。;Good Morning.
おまたせしました。;Sorry to have kept you waiting.
おまちください。;Please wait.
おまちどうさま。;Thank you for waiting (to customer)
おめでとう。;Congratulations
おめでとうございます。;Congratulations (very polite)
おやすみ。;Goodnight.
おやすみなさい。;Goodnight (slightly formal)
かしこまりました。;Certainly (it will be done)
ごえんりょなく。;Please don't hesitate
ごくろうさま。;Good job
ごぞんじですか。;Have you ever heard/know?
ごちそうさま（でした）;Thank you for the meal.
こちらこそ。;It is I who should say so.
ごめんください。;May I come in?
ごめんなさい。;Very sorry.
こんにちは。;Hello (good day)
こんばんは。;Good evening.
さよなら｜さようなら。;Farewell.
しつれいしました。;Sorry for my rudeness
しつれいします。;Excuse my rudeness
すみません。;Sorry/excuse me
それはいけませんね。;That's no good.
ただいま。;I'm home (said when returning home)
では、また。;See you later.
（いいえ）どういたしまして。;No at all, you're welcome.
はじめまして。;Nice to meet you.
よく、いらっしゃいました。;Welcome.
（どうぞ）よろしく。;It's a pleasure (introductory phrase)
;
